entity_id	label	entity_family	reason
1883	Q4468123	group	raw_qid_label
1897	2X4	work	missing_catalog_date
1910	A Real Swedish Live Show	work	missing_catalog_date
2020	dissolution of the Soviet Union	unknown	unknown_family
2021	Crazy Blues	work	missing_catalog_date
2068	En ménage	work	missing_catalog_date
2146	Heathen Earth	work	missing_catalog_date
2189	Inch by Inch	work	missing_catalog_date
2240	Just Drifting	work	missing_catalog_date
2281	Malediction & Prayer	work	missing_catalog_date
2337	The Unbelievable	work	missing_catalog_date
2379	Shadow Weaver	work	missing_catalog_date
2385	Shipwreck Radio	work	missing_catalog_date
2386	Shock Theater	work	missing_catalog_date
2417	Take It Back/Food for Thought	work	missing_catalog_date
2431	The Ballad of Eskimo Nell	work	missing_catalog_date
2440	The Complete Short Stories of J. G. Ballard	work	missing_catalog_date
2502	The Singer	work	missing_catalog_date
2559	Whispers and Moans	work	missing_catalog_date
2562	Wilczyca	unknown	unknown_family
2577	À vau-l'eau	work	missing_catalog_date
2598	Jealousy Game	work	missing_catalog_date
2687	Q16635882	work	raw_qid_label
2689	Q16716077	group	raw_qid_label
2707	Nine Lives to Wonder	work	missing_catalog_date
2710	Monsieur Vénus	work	missing_catalog_date
2740	Q17494948	work	raw_qid_label
2776	Deathwish	work	missing_catalog_date
2783	鯨神	work	missing_catalog_date
2790	Schrei x	work	missing_catalog_date
2791	Vena Cava	work	missing_catalog_date
2803	Q21641141	work	raw_qid_label
2804	Q21641449	group	raw_qid_label
2808	Q21661755	work	raw_qid_label
2810	From Her to Eternity	work	missing_catalog_date
2815	Teenage Jesus and the Jerks	work	missing_catalog_date
2855	Q30731296	work	raw_qid_label
2859	Q30731391	work	raw_qid_label missing_catalog_date
2869	The Brown Acid Caveat	work	missing_catalog_date
2891	Games That Lovers Play	work	missing_catalog_date
2895	Q61071509	work	raw_qid_label
2897	Gloria	work	missing_catalog_date
2910	fall of the Berlin Wall	unknown	unknown_family
2918	Wakefield Poole's Bible	work	missing_catalog_date
2928	Rumble	work	missing_catalog_date
2931	Rosalyn	work	missing_catalog_date
2934	Caligula	work	missing_catalog_date
2942	Q106048000	work	raw_qid_label missing_catalog_date
2946	The Old Ways	work	missing_catalog_date
2953	Baby Face 2	work	missing_catalog_date
2956	Song of the Nail	work	missing_catalog_date
2962	Louie Louie	work	missing_catalog_date
2963	Depression: The Woman Who Lives at Night	work	missing_catalog_date
2969	Come Back Peter	work	missing_catalog_date
2970	Les Nègres	work	missing_catalog_date
2972	The Miraculous	work	missing_catalog_date
2977	Bread	work	missing_catalog_date
2985	Saved!	work	missing_catalog_date
2987	All Thoughts Fly	work	missing_catalog_date
2989	Seed Money: The Chuck Holmes Story	work	missing_catalog_date
2993	The Foreigner	work	missing_catalog_date
2996	Q130289661	work	raw_qid_label missing_catalog_date
2997	Q130614434	work	raw_qid_label missing_catalog_date
3006	L'École de la chair	work	missing_catalog_date
3019	Passing Strangers	work	missing_catalog_date
3020	Daddy Dearest	work	missing_catalog_date
3021	Q136546103	group	raw_qid_label
3022	Night Has a Thousand Desires	work	missing_catalog_date
3024	Take an Easy Ride	work	missing_catalog_date
3025	Her Private Hell	work	missing_catalog_date
3026	Dildo Heaven	work	missing_catalog_date
3035	Taboo 2	work	missing_catalog_date
3070	psychiatry	unknown	unknown_family
6679	Q705447	person	raw_qid_label
6681	Q705523	person	raw_qid_label
6682	Q705531	person	raw_qid_label
6684	Q705715	person	raw_qid_label
6686	Q705870	person	raw_qid_label
6687	Q706084	person	raw_qid_label
6688	Q706134	person	raw_qid_label
6689	Q706338	person	raw_qid_label
6690	Q706513	person	raw_qid_label
6691	Q706538	person	raw_qid_label
6692	Q706764	person	raw_qid_label
6693	Q706995	person	raw_qid_label
6694	Q707064	person	raw_qid_label
6695	Q707079	person	raw_qid_label
6696	Q707211	person	raw_qid_label
6697	Q707282	person	raw_qid_label
6698	Q707321	person	raw_qid_label
6699	Q707329	person	raw_qid_label
6700	Q707336	person	raw_qid_label
6701	Q707500	person	raw_qid_label
6702	Q707504	person	raw_qid_label
6703	Q707538	person	raw_qid_label
6704	Q707846	person	raw_qid_label
6705	Q707869	person	raw_qid_label
6706	Q708059	person	raw_qid_label
6708	Q708350	person	raw_qid_label
6709	Q708456	person	raw_qid_label
6710	Q708595	person	raw_qid_label
6711	Q708662	person	raw_qid_label
6713	Q708744	person	raw_qid_label
6714	Q708804	person	raw_qid_label
6715	Q708899	person	raw_qid_label
6716	Q708963	person	raw_qid_label
6717	Q708987	person	raw_qid_label
6718	Q709019	person	raw_qid_label
6719	Q709133	person	raw_qid_label
6720	Q709317	person	raw_qid_label
6721	Q709325	person	raw_qid_label
6722	Q709336	person	raw_qid_label
6723	Q709398	person	raw_qid_label
6725	Q709626	person	raw_qid_label
6726	Q709655	person	raw_qid_label
6728	Q709913	person	raw_qid_label
6730	Q710121	person	raw_qid_label
6731	Q710548	person	raw_qid_label
6733	Q710748	person	raw_qid_label
6734	Q710875	person	raw_qid_label
6735	Q711129	person	raw_qid_label
6736	Q711178	person	raw_qid_label
6737	Q711527	person	raw_qid_label
6738	Q711642	person	raw_qid_label
6739	Q711694	person	raw_qid_label
6740	Q711804	person	raw_qid_label
6741	Q711883	person	raw_qid_label
6742	Q711892	person	raw_qid_label
6743	Q711914	person	raw_qid_label
6745	Q712180	person	raw_qid_label
6746	Q712187	person	raw_qid_label
6747	Q712374	person	raw_qid_label
6748	Q712449	person	raw_qid_label
6749	Q712592	person	raw_qid_label
6750	Q712827	person	raw_qid_label
6751	Q712955	person	raw_qid_label
6752	Q712968	person	raw_qid_label
6753	Q713066	person	raw_qid_label
6755	Q713477	person	raw_qid_label
6756	Q713572	person	raw_qid_label
6757	Q713877	person	raw_qid_label
6758	Q713899	person	raw_qid_label
6759	Q713956	person	raw_qid_label
6760	Q714010	person	raw_qid_label
6761	Q714103	person	raw_qid_label
6762	Q714136	person	raw_qid_label
6763	Q714479	person	raw_qid_label
6765	Q715111	person	raw_qid_label
6766	Q715159	person	raw_qid_label
6767	Q715175	person	raw_qid_label
6768	Q715216	person	raw_qid_label
6769	Q715330	person	raw_qid_label
6770	Q715904	person	raw_qid_label
6772	Q716027	person	raw_qid_label
6773	Q716064	person	raw_qid_label
6774	Q716238	person	raw_qid_label
6775	Q716344	person	raw_qid_label
6776	Q716460	person	raw_qid_label
6778	Q716588	person	raw_qid_label
6779	Q716602	person	raw_qid_label
6780	Q716617	person	raw_qid_label
6781	Q716792	person	raw_qid_label
6782	Q716893	person	raw_qid_label
6783	Q717070	person	raw_qid_label
6784	Q717129	person	raw_qid_label
6785	Q717432	person	raw_qid_label
6786	Q717584	person	raw_qid_label
6787	Q717663	person	raw_qid_label
6788	Q718083	person	raw_qid_label
6789	Q718135	person	raw_qid_label
6791	Q718382	person	raw_qid_label
6792	Q718427	person	raw_qid_label
6794	Q719012	person	raw_qid_label
6795	Q719247	person	raw_qid_label
6796	Q719263	person	raw_qid_label
6800	Q719988	person	raw_qid_label
6801	Q720223	person	raw_qid_label
6802	Q720246	person	raw_qid_label
6803	Q720360	person	raw_qid_label
6804	Q720558	person	raw_qid_label
6805	Q720576	person	raw_qid_label
6806	Q720921	person	raw_qid_label
6807	Q721191	person	raw_qid_label
6808	Q721256	person	raw_qid_label
6809	Q721284	person	raw_qid_label
6810	Q721297	person	raw_qid_label
6811	Q721323	person	raw_qid_label
6812	Q721586	person	raw_qid_label
6813	Q721922	person	raw_qid_label
6814	Q722156	person	raw_qid_label
6815	Q722337	person	raw_qid_label
6816	Q722378	person	raw_qid_label
6817	Q722412	person	raw_qid_label
6818	Q722764	person	raw_qid_label
6819	Q722890	person	raw_qid_label
6820	Q723000	person	raw_qid_label
6821	Q723027	person	raw_qid_label
6822	Q723139	person	raw_qid_label
6823	Q723144	person	raw_qid_label
6825	Q723742	person	raw_qid_label
6826	Q723745	person	raw_qid_label
6827	Q723751	person	raw_qid_label
6828	Q724165	person	raw_qid_label
6829	Q724478	person	raw_qid_label
6830	Q724622	organization	raw_qid_label
6831	Q724726	person	raw_qid_label
6833	Q724804	person	raw_qid_label
6834	Q725003	person	raw_qid_label
6835	Q725006	person	raw_qid_label
6836	Q725017	person	raw_qid_label
6837	Q725637	person	raw_qid_label
6838	Q725962	person	raw_qid_label
6839	Q726033	person	raw_qid_label
6840	Q726071	person	raw_qid_label
6841	Q726105	person	raw_qid_label
6842	Q726140	person	raw_qid_label
6843	Q726153	work	raw_qid_label
6844	Q726251	work	raw_qid_label
6845	Q726398	person	raw_qid_label
6846	Q726445	person	raw_qid_label
6847	Q726526	person	raw_qid_label
6849	Q727349	person	raw_qid_label
6850	Q727691	person	raw_qid_label
6852	Q727740	person	raw_qid_label
6853	Q728289	group	raw_qid_label
6854	Q728617	person	raw_qid_label
6855	Q728677	person	raw_qid_label
6856	Q729124	person	raw_qid_label
6857	Q729264	person	raw_qid_label
6858	Q729590	work	raw_qid_label
6859	Q729618	person	raw_qid_label
6860	Q730074	person	raw_qid_label
6861	Q730137	person	raw_qid_label
6862	Q730158	group	raw_qid_label
6863	Q730252	person	raw_qid_label
6864	Q730270	person	raw_qid_label
6865	Q730362	person	raw_qid_label
6866	Q730583	person	raw_qid_label
6867	Q730943	person	raw_qid_label
6868	Q730985	person	raw_qid_label
6869	Q731233	person	raw_qid_label
6870	Q731901	person	raw_qid_label
6871	Q732151	group	raw_qid_label
6872	Q732185	person	raw_qid_label
6873	Q734043	person	raw_qid_label
6874	Q734120	person	raw_qid_label
6875	Q734155	person	raw_qid_label
6876	Q734221	person	raw_qid_label
6877	Q734495	person	raw_qid_label
6878	Q735030	person	raw_qid_label
6879	Q735221	person	raw_qid_label
6880	Q735856	person	raw_qid_label
6881	Q736541	person	raw_qid_label
6882	Q736672	person	raw_qid_label
6884	Q738253	person	raw_qid_label
6885	Q738476	person	raw_qid_label
6888	Q739052	person	raw_qid_label
6889	Q739129	person	raw_qid_label
6890	Q739257	person	raw_qid_label
6891	Q739291	person	raw_qid_label
6892	Q739325	person	raw_qid_label
6893	Q739521	person	raw_qid_label
6894	Q739657	group	raw_qid_label
6896	Q739668	person	raw_qid_label
6897	Q740036	person	raw_qid_label
6898	Q740317	person	raw_qid_label
6899	Q740581	person	raw_qid_label
6900	Q740610	person	raw_qid_label
6901	Q740729	person	raw_qid_label
6902	Q741801	group	raw_qid_label
6903	Q742339	person	raw_qid_label
6904	Q743137	group	raw_qid_label
6905	Q743907	person	raw_qid_label
6907	Q744326	person	raw_qid_label
6909	Q745233	person	raw_qid_label
6910	Q745855	person	raw_qid_label
6911	Q746250	person	raw_qid_label
6912	Q747112	group	raw_qid_label
6914	Q747891	person	raw_qid_label
6915	Q748005	person	raw_qid_label
6916	Q748836	group	raw_qid_label
6917	Q749590	person	raw_qid_label
6918	Q749735	person	raw_qid_label
6919	Q750438	organization	raw_qid_label
6920	Q750983	person	raw_qid_label
6921	Q751814	group	raw_qid_label
6922	Q752170	group	raw_qid_label
6926	Q754051	group	raw_qid_label
6927	Q754063	person	raw_qid_label
6928	Q755915	person	raw_qid_label
6930	Q758136	person	raw_qid_label
6931	Q758380	group	raw_qid_label
6932	Q758986	person	raw_qid_label
6933	Q762566	person	raw_qid_label
6936	Q766091	person	raw_qid_label
6937	Q766551	person	raw_qid_label
6939	Q767871	group	raw_qid_label
6940	Q767872	person	raw_qid_label
6944	Q774277	person	raw_qid_label
6945	Q774682	organization	raw_qid_label
6947	Q775572	person	raw_qid_label
6948	Q775599	person	raw_qid_label
6949	Q775660	person	raw_qid_label
6950	Q776052	person	raw_qid_label
6951	Q776501	person	raw_qid_label
6953	Q776589	person	raw_qid_label
6954	Q776722	person	raw_qid_label
6955	Q778794	person	raw_qid_label
6956	Q778865	person	raw_qid_label
6957	Q779529	person	raw_qid_label
6959	Q781183	work	raw_qid_label
6960	Q781776	person	raw_qid_label
6961	Q781993	person	raw_qid_label
6963	Q782604	person	raw_qid_label
6964	Q782662	person	raw_qid_label
6965	Q784088	group	raw_qid_label
6966	Q784231	person	raw_qid_label
6967	Q784413	person	raw_qid_label
6968	Q785197	person	raw_qid_label
6969	Q786553	person	raw_qid_label
6970	Q786712	person	raw_qid_label
6972	Q788070	person	raw_qid_label
6973	Q788586	person	raw_qid_label
6974	Q788718	person	raw_qid_label
6975	Q789838	work	raw_qid_label
6977	Q797236	work	raw_qid_label
6978	Q797648	group	raw_qid_label
6979	Q798653	person	raw_qid_label
6980	Q798671	group	raw_qid_label
6981	Q799119	person	raw_qid_label
6982	Q804567	group	raw_qid_label
6983	Q807397	person	raw_qid_label
6985	Q807657	person	raw_qid_label
6986	Q808178	person	raw_qid_label
6987	Q808435	person	raw_qid_label
6988	Q808917	person	raw_qid_label
6989	Q809019	person	raw_qid_label
6990	Q809029	person	raw_qid_label
6991	Q809037	person	raw_qid_label
6992	Q809055	person	raw_qid_label
6993	Q809074	person	raw_qid_label
6994	Q809100	person	raw_qid_label
6995	Q809105	person	raw_qid_label
6996	Q813447	group	raw_qid_label
6997	Q815624	person	raw_qid_label
6998	Q816486	person	raw_qid_label
6999	Q816551	person	raw_qid_label
7000	Q816578	person	raw_qid_label
7001	Q817351	person	raw_qid_label
7002	Q817356	person	raw_qid_label
7003	Q817927	person	raw_qid_label
7004	Q818398	person	raw_qid_label
7005	Q820040	group	raw_qid_label
7008	Q822318	person	raw_qid_label
7009	Q822802	group	raw_qid_label
7010	Q823037	person	raw_qid_label
7011	Q825410	person	raw_qid_label
7012	Q826255	person	raw_qid_label
7013	Q826677	person	raw_qid_label
7014	Q827162	person	raw_qid_label
7015	Q827171	person	raw_qid_label
7016	Q827379	person	raw_qid_label
7017	Q827443	person	raw_qid_label
7018	Q829278	person	raw_qid_label
7019	Q829715	person	raw_qid_label
7020	Q831029	group	raw_qid_label
7021	Q835863	person	raw_qid_label
7023	Q837323	person	raw_qid_label
7024	Q837534	person	raw_qid_label
7025	Q837654	person	raw_qid_label
7026	Q838209	person	raw_qid_label
7028	Q839022	person	raw_qid_label
7029	Q842336	group	raw_qid_label
7031	Q842519	person	raw_qid_label
7032	Q842656	person	raw_qid_label
7033	Q843402	work	raw_qid_label
7034	Q845265	group	raw_qid_label
7035	Q847366	person	raw_qid_label
7036	Q848775	person	raw_qid_label
7037	Q850596	person	raw_qid_label
7038	Q851018	person	raw_qid_label
7039	Q853217	person	raw_qid_label
7040	Q856941	group	raw_qid_label
7042	Q861190	group	raw_qid_label
7043	Q861426	person	raw_qid_label
7044	Q862154	person	raw_qid_label
7046	Q862342	person	raw_qid_label
7047	Q862400	person	raw_qid_label
7048	Q862427	person	raw_qid_label
7049	Q862475	person	raw_qid_label
7050	Q862624	person	raw_qid_label
7051	Q863091	person	raw_qid_label
7052	Q864385	work	raw_qid_label
7053	Q864910	organization	raw_qid_label
7054	Q867434	person	raw_qid_label
7056	Q869022	person	raw_qid_label
7057	Q869060	person	raw_qid_label
7058	Q870687	person	raw_qid_label
7059	Q873297	person	raw_qid_label
7060	Q873810	person	raw_qid_label
7061	Q873820	person	raw_qid_label
7062	Q873865	person	raw_qid_label
7063	Q873908	person	raw_qid_label
7064	Q874427	person	raw_qid_label
7065	Q875142	person	raw_qid_label
7066	Q877080	person	raw_qid_label
7067	Q880187	organization	raw_qid_label
7068	Q881024	work	raw_qid_label
7069	Q885681	person	raw_qid_label
7070	Q885732	work	raw_qid_label
7071	Q885763	person	raw_qid_label
7073	Q887636	person	raw_qid_label
7074	Q887757	person	raw_qid_label
7075	Q887984	person	raw_qid_label
7077	Q888156	person	raw_qid_label
7078	Q888287	person	raw_qid_label
7079	Q888311	person	raw_qid_label
7080	Q888582	person	raw_qid_label
7081	Q890204	person	raw_qid_label
7082	Q891104	person	raw_qid_label
7083	Q891732	organization	raw_qid_label
7084	Q892285	person	raw_qid_label
7085	Q892627	person	raw_qid_label
7086	Q892692	person	raw_qid_label
7087	Q894310	person	raw_qid_label
7088	Q896740	person	raw_qid_label
7089	Q896786	person	raw_qid_label
7090	Q898148	person	raw_qid_label
7091	Q898553	person	raw_qid_label
7094	Q898820	group	raw_qid_label
7096	Q901825	person	raw_qid_label
7097	Q902782	person	raw_qid_label
7098	Q902856	person	raw_qid_label
7099	Q904921	group	raw_qid_label
7100	Q905984	group	raw_qid_label
7101	Q907311	work	raw_qid_label
7102	Q908458	group	raw_qid_label
7103	Q908662	organization	raw_qid_label
7104	Q909704	person	raw_qid_label
7105	Q909916	group	raw_qid_label
7106	Q911766	person	raw_qid_label
7107	Q912097	person	raw_qid_label
7108	Q912411	person	raw_qid_label
7109	Q912559	person	raw_qid_label
7110	Q912938	person	raw_qid_label
7112	Q913341	person	raw_qid_label
7113	Q913433	person	raw_qid_label
7114	Q913462	organization	raw_qid_label
7116	Q914802	person	raw_qid_label
7117	Q915955	person	raw_qid_label
7118	Q916461	group	raw_qid_label
7119	Q916682	person	raw_qid_label
7120	Q918484	person	raw_qid_label
7122	Q918677	person	raw_qid_label
7123	Q918838	person	raw_qid_label
7124	Q919156	person	raw_qid_label
7125	Q919192	person	raw_qid_label
7127	Q919604	person	raw_qid_label
7128	Q919992	person	raw_qid_label
7129	Q920161	person	raw_qid_label
7130	Q920273	person	raw_qid_label
7131	Q920963	person	raw_qid_label
7132	Q920964	person	raw_qid_label
7133	Q920996	person	raw_qid_label
7134	Q921058	person	raw_qid_label
7135	Q921413	person	raw_qid_label
7136	Q921496	person	raw_qid_label
7137	Q922043	work	raw_qid_label
7138	Q922147	person	raw_qid_label
7140	Q922499	person	raw_qid_label
7141	Q922580	person	raw_qid_label
7142	Q922612	person	raw_qid_label
7143	Q924039	person	raw_qid_label
7145	Q925310	person	raw_qid_label
7146	Q925641	group	raw_qid_label
7147	Q925680	person	raw_qid_label
7148	Q925872	person	raw_qid_label
7149	Q925911	person	raw_qid_label
7150	Q925957	person	raw_qid_label
7151	Q925978	person	raw_qid_label
7152	Q926946	person	raw_qid_label
7153	Q927107	person	raw_qid_label
7154	Q927415	person	raw_qid_label
7155	Q927472	person	raw_qid_label
7156	Q927542	person	raw_qid_label
7157	Q927681	person	raw_qid_label
7159	Q928353	person	raw_qid_label
7161	Q928666	person	raw_qid_label
7162	Q930042	person	raw_qid_label
7165	Q930691	person	raw_qid_label
7166	Q930812	person	raw_qid_label
7167	Q930822	person	raw_qid_label
7168	Q930863	person	raw_qid_label
7169	Q930903	person	raw_qid_label
7170	Q931450	person	raw_qid_label
7171	Q931534	person	raw_qid_label
7172	Q931624	person	raw_qid_label
7174	Q932792	person	raw_qid_label
7176	Q934087	person	raw_qid_label
7177	Q934108	person	raw_qid_label
7178	Q934182	person	raw_qid_label
7179	Q934270	person	raw_qid_label
7180	Q934345	person	raw_qid_label
7181	Q934506	person	raw_qid_label
7182	Q934831	person	raw_qid_label
7183	Q935122	person	raw_qid_label
7184	Q935153	person	raw_qid_label
7185	Q935640	person	raw_qid_label
7186	Q935717	person	raw_qid_label
7187	Q936000	person	raw_qid_label
7188	Q936507	person	raw_qid_label
7190	Q936758	person	raw_qid_label
7191	Q936929	person	raw_qid_label
7192	Q936987	person	raw_qid_label
7193	Q937550	person	raw_qid_label
7194	Q937835	person	raw_qid_label
7195	Q937897	person	raw_qid_label
7196	Q938146	person	raw_qid_label
7197	Q938317	person	raw_qid_label
7198	Q938333	person	raw_qid_label
7200	Q938630	group	raw_qid_label
7202	Q939138	person	raw_qid_label
7203	Q939329	group	raw_qid_label
7204	Q940193	person	raw_qid_label
7205	Q940536	group	raw_qid_label
7206	Q940662	person	raw_qid_label
7207	Q940924	person	raw_qid_label
7208	Q940980	person	raw_qid_label
7210	Q941415	person	raw_qid_label
7212	Q942589	person	raw_qid_label
7213	Q942858	person	raw_qid_label
7215	Q943378	person	raw_qid_label
7216	Q943390	person	raw_qid_label
7217	Q943589	person	raw_qid_label
7218	Q943762	person	raw_qid_label
7219	Q943982	group	raw_qid_label
7221	Q944097	person	raw_qid_label
7222	Q944159	person	raw_qid_label
7224	Q944245	person	raw_qid_label
7225	Q944296	person	raw_qid_label
7226	Q944396	person	raw_qid_label
7227	Q944952	person	raw_qid_label
7228	Q944978	person	raw_qid_label
7229	Q945076	person	raw_qid_label
7230	Q945494	person	raw_qid_label
7231	Q945713	person	raw_qid_label
7232	Q945777	person	raw_qid_label
7233	Q945890	person	raw_qid_label
7235	Q946039	person	raw_qid_label
7237	Q946196	person	raw_qid_label
7238	Q946210	person	raw_qid_label
7242	Q946859	person	raw_qid_label
7243	Q947315	person	raw_qid_label
7244	Q947354	organization	raw_qid_label
7245	Q947588	person	raw_qid_label
7246	Q947955	group	raw_qid_label
7247	Q948417	person	raw_qid_label
7248	Q948826	person	raw_qid_label
7249	Q948832	person	raw_qid_label
7250	Q948929	person	raw_qid_label
7251	Q949017	person	raw_qid_label
7252	Q949091	person	raw_qid_label
7253	Q949100	person	raw_qid_label
7255	Q949396	person	raw_qid_label
7256	Q949553	person	raw_qid_label
7258	Q949921	person	raw_qid_label
7259	Q950376	person	raw_qid_label
7260	Q950857	person	raw_qid_label
7261	Q950894	person	raw_qid_label
7262	Q951061	person	raw_qid_label
7263	Q951170	group	raw_qid_label
7264	Q951225	group	raw_qid_label
7268	Q951821	person	raw_qid_label
7269	Q952060	person	raw_qid_label
7271	Q952428	person	raw_qid_label
7272	Q952431	person	raw_qid_label
7273	Q953257	person	raw_qid_label
7274	Q953520	person	raw_qid_label
7275	Q954997	person	raw_qid_label
7277	Q955219	person	raw_qid_label
7278	Q955525	person	raw_qid_label
7279	Q955880	person	raw_qid_label
7280	Q956081	person	raw_qid_label
7282	Q956500	group	raw_qid_label
7283	Q956761	person	raw_qid_label
7284	Q956822	person	raw_qid_label
7285	Q956867	person	raw_qid_label
7287	Q957462	person	raw_qid_label
7288	Q957566	person	raw_qid_label
7290	Q957836	person	raw_qid_label
7291	Q958262	person	raw_qid_label
7292	Q958532	person	raw_qid_label
7293	Q958916	person	raw_qid_label
7294	Q958960	person	raw_qid_label
7295	Q959100	group	raw_qid_label
7297	Q959299	person	raw_qid_label
7298	Q959404	person	raw_qid_label
7299	Q959597	person	raw_qid_label
7300	Q959750	person	raw_qid_label
7301	Q959863	person	raw_qid_label
7302	Q960050	person	raw_qid_label
7303	Q960141	person	raw_qid_label
7304	Q960676	person	raw_qid_label
7306	Q960993	person	raw_qid_label
7307	Q961187	person	raw_qid_label
7308	Q961328	person	raw_qid_label
7309	Q961336	person	raw_qid_label
7310	Q961431	person	raw_qid_label
7311	Q961495	person	raw_qid_label
7312	Q961876	person	raw_qid_label
7313	Q962095	person	raw_qid_label
7314	Q962197	person	raw_qid_label
7315	Q962604	person	raw_qid_label
7316	Q963204	organization	raw_qid_label
7318	Q963498	person	raw_qid_label
7319	Q963576	person	raw_qid_label
7320	Q963869	person	raw_qid_label
7321	Q964071	person	raw_qid_label
7322	Q964311	person	raw_qid_label
7323	Q964322	person	raw_qid_label
7324	Q964783	person	raw_qid_label
7325	Q964832	person	raw_qid_label
7326	Q964901	person	raw_qid_label
7327	Q965008	organization	raw_qid_label
7328	Q965379	person	raw_qid_label
7329	Q965475	person	raw_qid_label
7330	Q965482	person	raw_qid_label
7331	Q965826	person	raw_qid_label
7332	Q965873	person	raw_qid_label
7333	Q965902	person	raw_qid_label
7334	Q965918	person	raw_qid_label
7336	Q966420	person	raw_qid_label
7338	Q966656	person	raw_qid_label
7339	Q966770	person	raw_qid_label
7340	Q966778	person	raw_qid_label
7341	Q967062	person	raw_qid_label
7342	Q967117	person	raw_qid_label
7343	Q967502	person	raw_qid_label
7344	Q967593	person	raw_qid_label
7345	Q967797	person	raw_qid_label
7346	Q967851	person	raw_qid_label
7347	Q967922	person	raw_qid_label
7348	Q967969	person	raw_qid_label
7349	Q968524	person	raw_qid_label
7350	Q968828	person	raw_qid_label
7351	Q969404	person	raw_qid_label
7352	Q969844	person	raw_qid_label
7353	Q970021	person	raw_qid_label
7354	Q970321	person	raw_qid_label
7355	Q970442	person	raw_qid_label
7356	Q970502	group	raw_qid_label
7357	Q971159	person	raw_qid_label
7359	Q971446	organization	raw_qid_label
7360	Q972148	person	raw_qid_label
7361	Q972568	person	raw_qid_label
7362	Q972849	person	raw_qid_label
7363	Q973104	group	raw_qid_label
7364	Q973437	person	raw_qid_label
7365	Q973456	person	raw_qid_label
7367	Q973621	person	raw_qid_label
7369	Q974467	person	raw_qid_label
7370	Q974947	person	raw_qid_label
7371	Q974982	person	raw_qid_label
7372	Q975046	person	raw_qid_label
7373	Q975161	person	raw_qid_label
7374	Q975235	person	raw_qid_label
7375	Q975469	person	raw_qid_label
7376	Q975609	person	raw_qid_label
7377	Q975630	person	raw_qid_label
7378	Q975764	person	raw_qid_label
7379	Q976165	person	raw_qid_label
7380	Q976234	person	raw_qid_label
7381	Q976248	person	raw_qid_label
7383	Q976626	person	raw_qid_label
7384	Q976729	person	raw_qid_label
7385	Q976882	group	raw_qid_label
7386	Q977656	person	raw_qid_label
7387	Q977658	person	raw_qid_label
7388	Q978299	person	raw_qid_label
7389	Q978706	person	raw_qid_label
7390	Q978857	person	raw_qid_label
7391	Q979331	person	raw_qid_label
7393	Q979778	person	raw_qid_label
7394	Q980986	person	raw_qid_label
7395	Q981226	person	raw_qid_label
7396	Q981603	person	raw_qid_label
7399	Q981993	person	raw_qid_label
7400	Q982182	person	raw_qid_label
7401	Q982722	person	raw_qid_label
7402	Q982927	person	raw_qid_label
7403	Q983071	person	raw_qid_label
7404	Q983315	person	raw_qid_label
7406	Q984438	person	raw_qid_label
7407	Q984537	person	raw_qid_label
7408	Q984596	person	raw_qid_label
7409	Q985460	group	raw_qid_label
7410	Q985882	person	raw_qid_label
7411	Q987976	person	raw_qid_label
7412	Q988431	person	raw_qid_label
7413	Q989826	person	raw_qid_label
7414	Q990204	person	raw_qid_label
7415	Q991475	person	raw_qid_label
